"","SYMBOL","GSM1143672","GSM1143673","GSM1143674","GSM1143675"
"131","SRA1",984,929,1778,1022
"132","SNORD119",3,4,1,2
"133","SNORD121A",2,0,0,0
"134","SNORD125",41,22,34,16
"135","SNORD19B",13,12,17,3
"136","SNORD105B",0,0,0,1
"137","SNORD123",0,0,0,0
"138","UCKL1-AS1",171,160,137,104
"139","SNORD127",0,0,0,0
"140","SNORD126",1,0,0,0
"141","SNORD11B",2,2,1,0
"142","SNORD12B",3,7,5,4
"143","SNORD111B",1,2,1,0
"144","LIN28B-AS1",0,0,0,0
"145","LINC00583",0,0,0,0
"146","TMEM170B",201,216,267,199
"147","FAM138E",0,0,0,0
"148","SNORD58C",13,21,10,4
"149","SCARNA27",2,7,2,0
"150","SNORA84",8,3,1,2
"151","SNORA36C",0,2,0,0
"152","SNORA38B",1,4,0,1
"153","SNORA70B",0,0,0,0
"154","SNORA70C",0,0,0,0
"155","SNORA11B",0,0,0,0
"156","SNORA11C",0,0,0,0
"157","SNORA11D",0,0,0,0
"158","HOTAIR",92,99,103,78
"159","ZGLP1",27,41,32,28
"160","FAM86JP",238,203,410,231
"161","FMR1-AS1",3,0,1,1
"162","MIR298",0,0,0,0
"163","MIR300",0,0,0,0
"164","VTRNA2-1",0,0,0,0
"165","MIR509-2",0,0,0,0
"166","MIR450B",0,0,0,0
"167","MIR890",0,0,0,0
"168","MIR891B",0,0,0,0
"169","MIR888",0,0,0,0
"170","MIR892B",0,0,0,0
"171","MIR541",0,0,0,0
"172","MIR875",0,0,0,0
"173","MIR876",0,0,0,0
"174","MIR147B",2,1,2,1
"175","MIR744",0,0,0,0
"176","MIR877",0,1,1,2
"177","MIR665",0,0,0,0
"178","MIR873",0,0,0,0
"179","MIR374B",0,0,0,0
"180","MIR301B",0,0,0,0
"181","MIR216B",0,0,0,0
"182","MIR920",0,0,0,0
"183","MIR922",10,16,14,7
"184","MIR924",0,0,0,0
"185","MIR934",0,0,0,0
"186","MIR935",0,0,0,0
"187","MIR936",0,0,1,0
"188","MIR938",0,0,0,0
"189","MIR940",1,2,3,1
"190","MIR941-1",0,1,0,0
"191","MIR941-4",0,0,0,0
"192","MIR942",0,1,0,0
"193","MIR943",28,21,15,12
"194","MIR708",0,0,0,0
"195","MIR885",0,0,0,0
"196","MIR543",0,0,0,0
"197","MIR208B",0,0,0,0
"198","MIR509-3",0,0,0,0
"199","MIR937",57,49,95,64
"200","MIR941-2",0,0,0,0
"201","MIR944",0,0,0,0
"202","MIR891A",0,0,0,0
"203","MIR892A",0,0,0,0
"204","MIR874",0,0,0,0
"205","MIR889",0,0,0,0
"206","MIR190B",0,0,0,0
"207","MIR887",0,0,0,0
"208","MIR760",0,1,0,0
"209","MIR921",0,0,0,0
"210","MIR933",0,0,0,1
"211","MIR939",43,28,35,30
"212","MIR941-3",0,0,0,0
"213","MIR297",0,0,0,0
"214","MIR365A",1,1,0,1
"215","MIR365B",1,0,0,0
"216","LOC100126447",0,0,0,0
"217","GJE1",0,0,0,0
"218","LOC100126584",0,0,0,0
"219","LINC00322",2,1,2,8
"220","SNAR-G1",4,4,5,0
"221","SNAR-F",2,2,1,0
"222","NAV2-AS6",3,1,1,1
"223","EGOT",0,0,0,0
"224","GHRLOS",57,51,64,46
"225","SNAR-A1",0,0,0,0
"226","SNAR-A2",0,0,0,1
"227","SNAR-A12",0,0,0,0
"228","MINAR2",13,12,8,10
"229","SLCO4A1-AS1",58,49,33,28
"230","HECW1-IT1",0,0,0,0
"231","LOC100127955",2,2,0,0
"232","KRT73-AS1",119,90,0,0
"233","C8orf88",9,19,5,18
"234","LOC100128002",0,1,1,1
"235","ARHGAP44-AS1",0,1,0,0
"236","DPPA2P3",0,0,0,0
"237","WWTR1-AS1",10,7,21,9
"238","PLCE1-AS1",0,0,0,0
"239","SMARCA5-AS1",214,190,180,107
"240","LOC100128059",0,0,0,0
"241","FAM229A",11,11,14,11
"242","LOC100128076",7,3,41,35
"243","LOC100128079",19,21,41,19
"244","JAZF1-AS1",4,4,4,2
"245","ST8SIA6-AS1",7,6,8,6
"246","UBE2Q2P13",3,0,1,0
"247","HGC6.3",0,0,0,0
"248","STAU2-AS1",0,0,1,2
"249","ADGRA1-AS1",0,0,0,0
"250","LINC01233",0,0,0,0
"251","LOC100128164",2,1,5,2
"252","UST-AS1",12,9,15,11
"253","TMPO-AS1",774,694,183,124
"254","LINC02324",1,1,3,3
"255","LINC02731",0,2,4,2
"256","ZNF667-AS1",0,0,0,0
"257","LOC100128253",0,3,4,5
"258","WASIR1",28,22,62,40
"259","TNK2-AS1",98,105,101,66
"260","HTR5A-AS1",0,0,0,0
"261","LOC100128276",0,0,0,0
"262","DNM1P35",4,2,1,1
"263","LOC100128288",5,13,8,12
"264","DLG5-AS1",18,22,34,20
"265","LOC100128310",1,0,2,0
"266","LOC100128317",0,0,0,0
"267","LINC03008",0,0,0,1
"268","TRAPPC3L",0,0,0,1
"269",NA,1725,1390,2712,1902
"270","LOC100128340",44,51,67,34
"271","LOC100128361",47,42,55,27
"272","LINC00696",0,0,0,0
"273","FAM225B",209,183,203,151
"274","ARHGAP42-AS1",1,1,5,4
"275","LOC100128398",49,56,43,39
"276","LINC00892",0,0,0,0
"277","LOC100128494",2382,2323,3197,2069
"278","SCP2D1-AS1",0,0,0,0
"279","ASTN2-AS1",0,0,1,0
"280","NEBL-AS1",39,38,92,40
"281","KIAA1671-AS1",22,20,49,24
"282","MIR29B2CHG",10,10,36,19
"283","CTAGE4",44,38,71,41
"284","LINC02347",0,0,0,0
"285","MYHAS",0,0,0,0
"286","RANBP3-DT",1,5,6,3
"287","TEKTIP1",90,58,125,68
"288","SLC8A1-AS1",0,0,0,0
"289","LOC100128593",0,0,0,0
"290","TMSB15B-AS1",4,3,2,5
"291","CDC42P3",93,86,124,68
"292","ACVR2B-AS1",14,15,16,8
"293","LOC100128653",113,105,145,85
"294","HPN-AS1",1,1,1,3
"295","LINC01531",0,0,0,0
"296","GPR50-AS1",1,0,0,0
"297","LINC02346",0,1,0,3
"298","OST4",2025,1955,3251,1999
"299","RBPMS-AS1",80,79,85,72
"300","LOC100128770",182,168,440,245
"301","ERCC6L2-AS1",217,235,431,265
"302","LINC01349",0,0,0,0
"303","SRRM2-AS1",27,32,75,29
"304","GPR158-AS1",2,1,2,2
"305",NA,1,1,2,0
"306","LINC01003",276,205,388,219
"307","VPS9D1-AS1",883,690,716,348
"308","ZFPM1-AS1",4,8,8,3
"309","LOC100128885",0,0,0,0
"310","FAM66B",12,19,54,26
"311","GATA6-AS1",2,0,7,2
"312","LINC01960",0,0,0,0
"313","CIROP",5,4,7,3
"314","ZBTB42",1202,1042,1289,767
"315","LINC01310",1,2,0,1
"316","LOC100128966",4,0,0,0
"317","MAPT-AS1",0,0,0,0
"318","LOC100128988",0,0,1,0
"319","LOC100128993",0,0,0,0
"320","C20orf181",0,0,0,0
"321","PCBP3-AS1",0,0,1,0
"322","PKP4-AS1",91,73,100,67
"323","LOC100129034",2316,2091,3498,2303
"324","BCAR3-AS1",12,8,27,14
"325","CCNYL4",0,0,0,0
"326","SEMA3F-AS1",127,143,170,118
"327","LOC100129066",3,1,19,7
"328","KTN1-AS1",30,33,53,29
"329","SIGLEC10-AS1",8,3,1,0
"330","BTNL10P",0,1,6,5
"331","LOC100129098",0,0,0,0
"332","KHDC1L",0,0,0,0
"333","TDH-AS1",52,53,44,35
"334","LOC100129138",4,5,6,4
"335","LOC100129148",158,151,159,106
"336","LOC100129175",5,6,3,0
"337","ZSCAN16-AS1",35,45,66,50
"338","MATN1-AS1",30,16,41,16
"339","LOC100129203",0,4,4,10
"340","SLC39A12-AS1",0,0,0,0
"341","LOC100129215",24,15,15,7
"342","DEFB131B",2,4,5,0
"343","THCAT155",0,0,0,0
"344","CXorf51A",0,0,0,0
"345","SMIM27",70,58,70,46
"346","LINC01160",0,3,1,2
"347","C1orf68",0,0,1,0
"348","TDRD15",0,0,0,0
"349","LOC100129291",0,0,0,0
"350","CD200R1L-AS1",4,2,4,0
"351","LOC100129307",0,0,0,0
"352","LOC100129316",1,0,0,1
"353","LINC02291",0,0,0,0
"354","LINC00484",0,0,0,0
"355","NRADDP",4,7,7,10
"356","SMIM10L1",1047,1040,1234,759
"357","LINC03041",0,0,0,0
"358","GABPB1-AS1",573,495,745,458
"359","FAM106C",1,1,2,2
"360","MSTO2P",366,354,307,191
"361","FAM236A",0,0,1,0
"362","RPL19P12",190,189,279,134
"363","DDC-AS1",0,0,0,0
"364","LOC100129434",5,8,1,1
"365","LOC100129455",7,3,6,5
"366","DPY19L1P1",54,66,84,52
"367","LYRM4-AS1",87,81,93,50
"368","LINC01546",0,0,0,0
"369","MKRN2OS",44,67,127,108
"370","ZNF37BP",161,153,130,94
"371","LINC02983",13,10,10,6
"372",NA,22,14,22,10
"373","ETDB",0,2,1,4
"374","LINC02012",14,9,8,8
"375","SOD2-OT1",47,47,58,41
"376","TEX13C",0,1,0,0
"377","MUC8",1,3,2,2
"378","LOC100129534",27,43,30,29
"379","LOC100129540",28,22,24,17
"380","ZNF730",219,233,120,107
"381","LINC02035",8,3,17,15
"382","FAM47E",49,64,94,76
"383","LINC00462",0,0,0,0
"384","LOC100129603",0,0,0,0
"385","LOC100129617",7,3,7,1
"386","PLPPR5-AS1",3,3,5,3
"387","OR2W1-AS1",0,0,0,0
"388","TCF24",13,7,13,17
"389","FGF13-AS1",0,0,0,0
"390","IZUMO3",0,0,0,0
"391","LOC100129697",47,32,71,35
"392","ARRDC3-AS1",26,36,95,48
"393","STPG3-AS1",15,14,16,15
"394","MAPRE3-AS1",0,0,0,0
"395","LINC01126",22,19,26,18
"396","MIR193BHG",56,70,128,56
"397","CCDC152",35,62,103,83
"398","SLC25A21-AS1",76,72,135,60
"399","ZNF807P",33,25,48,30
"400","IRAG1-AS1",0,0,0,1
"401","COL4A2-AS2",0,0,0,0
"402","ZNF737",252,285,465,364
"403","PCOLCE-AS1",7,2,2,2
"404","SCOC-AS1",4,13,14,4
"405","DYM-AS1",4,6,12,10
"406","PCGF3-AS1",133,122,112,78
"407","TMEM269",4,3,9,8
"408","LOC100129931",444,390,660,380
"409","LOC100129935",0,0,0,0
"410","HMGA2-AS1",1,0,1,1
"411","CCNT2-AS1",13,13,12,13
"412","FAM205C",0,0,0,0
"413","CERNA1",266,246,342,223
"414","LINC01460",0,0,1,1
"415","HDAC6",1008,1048,1211,844
"416","URAHP",180,157,268,185
"417","FTLP10",0,0,1,0
"418","LOC100130027",97,76,127,106
"419","LOC100130075",10,2,12,2
"420","HSFX2",6,6,4,5
"421","LOC100130111",5,5,12,8
"422","MAPT-IT1",0,1,0,0
"423","MIR124-2HG",0,0,0,0
"424","FAM13B-AS1",22,20,39,18
"425","EFCAB14-AS1",36,43,59,38
"426","LOC100130207",0,1,1,2
"427","LINC00861",0,0,0,0
"428","LOC100130238",30,12,62,40
"429","LINC02961",0,0,0,0
"430","LOC100130256",0,0,0,0
"431","SLC24A3-AS1",3,2,1,2
"432","LOC100130268",0,0,0,0
"433","CCDC166",0,1,0,1
"434","TFAP2A-AS1",43,52,77,32
"435","LOC100130283",177,199,134,97
"436","LOC100130298",1,0,0,0
"437","C8orf89",0,0,0,0
"438","SUPT20HL1",0,0,0,0
"439","C17orf107",1,3,6,8
"440","LOC100130331",488,420,523,370
"441","SCGB2B3P",0,1,0,0
"442","LOC100130345",11,11,38,45
"443","TMEM262",4,4,5,3
"444","LOC100130357",2,9,4,3
"445","CXorf49",0,0,0,0
"446","LINC03048",1,2,5,1
"447","EPB41L1-AS1",2,1,1,4
"448","LINC00552",0,0,1,0
"449","LINC02593",322,306,456,403
"450","CECR7",1,2,0,1
"451","GPC1-AS1",246,172,696,362
"452","SPAG16-DT",0,0,0,0
"453","LOC100130452",2,0,0,1
"454","CAND1.11",0,0,0,0
"455","WAKMAR2",1,0,2,1
"456","LINC01387",0,0,0,0
"457","TMEM221",13,10,13,14
"458","CD300H",0,0,0,0
"459","PARD6G-AS1",5,10,3,5
"460","LINC02881",0,1,1,1
"461","LOC100130548",14,7,19,10
"462","NFYC-AS1",93,108,159,87
"463","LINC00910",36,22,40,25
"464","LOC100130587",0,0,1,1
"465","PRR32",0,0,0,0
"466","LOC100130673",1,1,7,2
"467","LOC100130691",0,1,0,0
"468","LOC100130698",52,45,33,21
"469","TP53TG3HP",0,0,0,0
"470","LRRC58-DT",4,4,4,8
"471","ATP6V1FNB",11,17,27,12
"472","HDHD5-AS1",6,1,15,8
"473","LRRC70",4,1,3,1
"474","LRRC69",19,25,31,24
"475","LOC100130744",60,57,83,47
"476","EFCAB10",144,131,348,168
"477","AGAP2-AS1",278,216,336,195
"478","SBK3",20,24,21,19
"479","LOC100130849",0,0,0,0
"480","USP3-AS1",129,125,177,91
"481","LOC100130872",0,0,0,1
"482","CREB3L2-AS1",0,0,0,1
"483","ATE1-AS1",4,9,7,5
"484","PSORS1C3",0,0,1,0
"485","TSTD3",189,171,292,181
"486","VAC14-AS1",21,25,27,13
"487","SMIM6",5,1,1,6
"488","ZNF663P",0,0,0,0
"489","CSAG4",0,0,0,0
"490","ZNF594-DT",8,7,14,9
"491","LINC01502",1,0,0,0
"492","SYCE1L",46,40,69,36
"493","LOC100130964",0,0,0,0
"494","LINC02901",122,131,119,82
"495","LOC100130987",28,27,60,39
"496","SPATA48",0,0,0,0
"497","LOC100130992",48,58,71,58
"498","ZNF316",1680,1629,1890,1281
"499","DNAH8-AS1",0,0,0,0
"500","LINC01135",1,2,8,2
"501","CKMT2-AS1",105,95,119,80
"502","SRP14-DT",56,49,87,40
"503","DPP9-AS1",122,97,147,97
"504",NA,37,21,68,58
"505","LOC100131107",0,1,0,0
"506","ZBTB20-AS1",0,0,0,0
"507","BSPH1",0,0,0,0
"508","LINC01405",0,0,0,0
"509","WDR86-AS1",0,0,0,0
"510","TSTD1",1240,1173,2175,1336
"511","CCDC183-AS1",126,149,148,98
"512","RPL21P28",602,537,845,489
"513","SNAP25-AS1",0,1,1,0
"514","NEMP2",202,218,58,29
"515","ZNF503-AS2",66,74,91,37
"516","MIR181A1HG",5,6,4,3
"517","ANKRD63",27,24,16,14
"518","LOC100131257",1,1,0,0
"519","LOC100131289",0,0,0,0
"520","DPEP2NB",0,0,0,0
"521","GREM1-AS1",0,0,0,0
"522","RAB6C-AS1",69,66,92,64
"523","RDM1P5",16,15,12,9
"524","LINC00605",0,0,0,0
"525","C11orf91",9,6,28,9
"526","SP9",16,13,16,11
"527","LOC100131395",3,8,6,8
"528","EOLA1-DT",43,38,136,86
"529","CD300LD",0,0,0,0
"530","DBIL5P",19,14,12,5
"531","LOC100131472",0,0,0,0
"532","LOC100131496",19,15,15,10
"533","LOC100131532",0,0,0,0
"534","ZNF705EP",6,3,1,1
"535","LINC00887",0,0,1,3
"536","FKSG29",0,0,0,0
"537","CCDC18-AS1",58,65,179,99
"538","DPP4-DT",61,43,44,36
"539","PRR23D1",0,2,3,0
"540","LOC100131626",42,45,67,39
"541","LOC100131635",0,0,0,0
"542","ZNF236-DT",15,19,25,12
"543","MZF1-AS1",174,150,216,136
"544","FAM83A-AS1",1,2,4,0
"545","USP30-AS1",10,8,16,8
"546","ARMCX4",48,58,40,35
"547","PET100",433,394,500,331
"548","AHI1-DT",2,5,5,5
"549","UBE2DNL",0,0,0,0
"550","CADM3-AS1",0,0,0,0
"551","ZNF717",2,1,0,0
"552","INSYN2B",0,0,0,0
"553","KRTAP25-1",0,0,0,0
"554","LOC100131943",0,0,0,0
"555","ZNF705G",1,0,0,0
"556","FAM27E3",0,1,0,0
"557","RRN3P3",182,187,208,153
"558","LOC100132004",0,0,0,0
"559","TEX13D",0,0,0,0
"560","PDE4DIPP6",2,9,14,5
"561","LOC100132062",145,137,243,193
"562","FOXO6",663,547,560,404
"563","LOC100132077",19,31,38,21
"564","LOC100132078",0,0,0,0
"565","HERC2P7",3,5,4,3
"566","FAM66E",3,5,11,10
"567","C2CD4D-AS1",80,97,189,135
"568","ACTA2-AS1",14,5,247,126
"569","FAM240A",0,0,0,0
"570","LINC01783",3,3,4,1
"571","LOC100132154",0,0,0,0
"572","CALML3-AS1",1,10,15,25
"573","PHKA2-AS1",80,75,96,52
"574","WASIR2",31,13,50,26
"575","LINC01987",0,0,0,0
"576","GOLGA6L25",0,0,0,0
"577","EHBP1-AS1",59,70,41,27
"578","LINC00543",0,0,0,0
"579","NPIPB5",836,744,802,613
"580","LOC100132249",133,120,118,100
"581","NDUFA6-DT",44,38,41,44
"582","LOC100132287",122,120,212,165
"583","TEKT4P2",62,52,109,70
"584","FAM236B",0,0,1,0
"585","CLUHP3",130,163,226,155
"586","FRG1HP",30,36,49,41
"587","LINC01512",0,0,0,0
"588","LOC100132356",95,90,93,57
"589","KRTAP4-9",0,0,0,0
"590","ZNF705B",0,0,0,0
"591","GAGE12D",0,0,0,0
"592","FAM157B",82,72,115,96
"593","NBPF10",712,776,1075,858
"594","FCGR1CP",3,1,7,8
"595","CLDN24",1,3,1,1
"596","FAM99B",0,0,0,0
"597","KRTAP4-7",0,0,0,0
"598","LINC01415",1,0,4,0
"599","FGD5P1",0,0,0,0
"600","TAT-AS1",4,2,2,2
"601","GXYLT1P3",0,0,0,0
"602","GOLGA8F",0,1,1,1
"603","PGAM1P5",29,31,35,21
"604","XGY2",6,8,92,53
"605","LINC02312",0,0,0,0
"606","ZRANB2-AS1",84,72,88,52
"607","BSN-DT",1,2,1,1
"608","LOC100132686",0,0,0,0
"609","PAXIP1-AS2",123,116,133,98
"610","CYP4F30P",24,27,36,35
"611","DCAF13P3",66,68,94,60
"612","FILNC1",0,0,0,0
"613","LOC100132741",0,0,0,0
"614","KDM4A-AS1",98,91,159,94
"615","LOC100132781",0,1,0,0
"616","SYBU-AS1",1,1,0,3
"617","IPO5P1",241,268,427,284
"618","TNIP2P1",17,13,13,9
"619","PMS2P9",42,39,46,41
"620","MSC-AS1",0,0,0,0
"621","DPH3P1",106,88,87,50
"622","SHISAL2B",0,0,0,0
"623","FAM66D",17,18,27,17
"624","FAM25BP",1,3,3,3
"625","FAM197Y9",0,0,0,0
"626","FAM27C",0,0,0,0
"627","SMIM9",0,0,0,0
"628","FAM223A",2,1,2,3
"629","GOLGA8DP",1,1,3,2
"630","LINC00856",0,0,0,1
"631","CXorf49B",0,0,0,0
"632","RASA4DP",45,35,57,33
"633","FAM95B1",0,0,0,0
"634","GUSBP19",5,3,5,3
"635","CXorf51B",0,0,0,0
"636","LOC100133077",0,1,0,0
"637","LINC03009",83,81,92,58
"638","FAM25G",3,4,10,7
"639","FAM27B",0,0,0,0
"640","LINC01203",0,0,0,0
"641","LINC01001",157,145,258,202
"642","FAM66A",3,3,5,3
"643","HSDL2-AS1",52,50,65,40
"644","LINC00240",2,0,2,7
"645","GOLGA6L3",20,22,33,17
"646","SBF1P1",27,29,36,15
"647","PRR23D2",0,2,4,0
"648","DEFB130B",0,0,0,0
"649","CBR1-AS1",232,200,200,134
"650","RSU1P2",3,4,6,3
"651","HOXA-AS3",5,3,8,4
"652","XNDC1N",32,40,25,16
"653","PRO1804",0,0,0,0
"654",NA,147,132,244,182
"655","LINC02171",0,0,0,0
"656","MRPL23-AS1",2,2,6,3
"657","LINC01134",5,3,7,2
"658","LY6E-DT",30,19,34,14
"659","LOC100133920",0,0,0,0
"660","CD24",7716,7618,17939,10951
"661","UXT-AS1",165,134,186,112
"662","LINC01816",23,27,31,17
"663","MAP3K14-AS1",37,38,72,52
"664","UBOX5-AS1",9,11,9,8
"665","LOC100134040",0,0,0,0
"666","KDM7A-DT",87,75,132,60
"667","LINC01119",1,1,2,3
"668","LOC100134317",2,1,3,3
"669","LOC100134368",21,20,31,16
"670","LOC100134391",0,0,0,0
"671","KCNJ18",3,2,3,2
"672","NDUFB2-AS1",431,381,527,303
"673","LOC100134868",103,90,428,244
"674","UBE2Q2P2",70,67,75,61
"675","TEN1",146,142,179,114
"676","UPK3BL1",94,98,153,107
"677","JMJD7",106,90,141,117
"678","PLA2G4B",60,56,90,75
"679","HDAC5",210,172,335,161
"680","C17orf99",0,0,0,0
"681","CTAGE8",48,44,78,48
"682","LOC100144595",0,0,0,0
"683","LINC00029",8,1,17,9
"684","LINC01056",3,2,6,3
"685","EPHA5-AS1",0,0,0,0
"686","CHKB-DT",17,20,19,14
"687","LINC00930",0,1,19,5
"688","KLLN",52,68,246,156
"689","RNU7-1",17,15,15,12
"690","TMCO1-AS1",21,15,25,21
"691","PDCD6IP",3611,3417,5137,3135
"692","KRTAP20-4",0,0,0,0
"693","RNU4ATAC",3,4,0,0
"694","RNU6ATAC",3,11,1,3
"695","SCARNA9L",5,7,1,2
"696","PDCD6",2004,1811,2521,1565
"697","RNA5S1",0,0,0,0
"698","TEX36-AS1",0,0,0,0
"699","RNA5S2",0,0,0,0
"700","RNA5S3",0,0,0,0
"701","RNA5S4",0,0,0,0
"702","RNA5S5",0,0,0,0
"703","RNA5S6",0,0,0,0
"704","RNA5S7",0,0,0,0
"705","RNA5S8",0,0,0,0
"706","RNA5S9",1,0,0,1
"707","RNA5S10",0,0,0,0
"708","RNA5S11",0,0,0,0
"709","RNA5S12",0,0,0,0
"710","RNA5S13",0,0,0,0
"711","RNA5S14",0,0,0,0
"712","RNA5S15",0,0,0,0
"713","RNA5S16",0,0,0,0
"714","RNA5S17",0,0,0,0
"715","PATE3",0,0,0,0
"716","PEG3-AS1",0,0,0,0
"717","SNAR-A3",0,0,0,0
"718","SNAR-A5",0,0,0,0
"719","SNAR-A7",0,0,0,0
"720","SNAR-A11",0,0,0,0
"721","SNAR-A9",0,0,0,0
"722","SNAR-A4",0,1,0,0
"723","SNAR-A6",0,0,0,0
"724","SNAR-A8",0,0,0,0
"725","SNAR-A13",0,0,0,0
"726","DBIL5P2",0,0,0,0
"727","BCL2L10",6,3,15,5
"728","SNAR-A10",0,0,0,0
"729","SNAR-B2",51,33,34,5
"730","SNAR-C2",1,0,0,0
"731","SNAR-C4",12,11,9,0
"732","SNAR-E",7,3,7,0
"733","SNAR-H",0,1,1,1
"734","SNAR-I",0,0,0,0
"735","SNAR-C5",1,0,0,0
"736","SNAR-B1",51,33,34,5
"737","SNAR-C1",6,0,3,0
"738","SNAR-C3",17,11,12,0
"739","SNAR-D",1,0,0,0
"740","SNAR-G2",0,1,0,0
"741","SRRM5",88,83,159,78
"742","ERICH4",1,0,0,0
"743","EPOP",552,433,420,229
"744","TRIM59-IFT80",382,402,371,264
"745","BCL2L11",922,892,934,575
"746","MIR1224",0,0,0,0
"747","MIR1225",0,0,2,0
"748","TOMM6",3422,3353,2951,1672
"749","HECTD2-AS1",1,8,6,10
"750","LINC00426",0,0,0,2
"751","LINC00092",2,0,1,1
"752","DNMBP-AS1",27,25,47,26
